gene,cor,p
UBE2T,0.383420905430339,0
TOP2A,0.392978401328506,0
TEDC2,0.38838220821802,0
CDC20,0.360409562923301,4.44089209850063e-16
RCC1,0.32834189097618,1.32560629140244e-13
IQGAP3,0.322630703752971,3.66373598126302e-13
SAPCD2,0.309685537901482,3.39683836614313e-12
KIF20A,0.337135433112476,2.66453525910038e-14
RMI2,0.37299612083174,0
CCNB1,0.33235362082148,6.3948846218409e-14
CDCA8,0.376252583658328,0
PAFAH1B3,0.311099398613197,2.67741384618603e-12
UBE2C,0.3894812677528,0
PLK1,0.35410661130722,8.88178419700125e-16
ZWINT,0.355759490688067,8.88178419700125e-16
BIRC5,0.375518580507839,0
EZH2,0.340235161511881,1.48769885299771e-14
SPAG5,0.397410185833805,0
KIF2C,0.401565113708973,0
CCNB2,0.334567514590274,4.2632564145606e-14
NEK2,0.388832479953915,0
TPX2,0.382787092937145,0
RECQL4,0.384675100605217,0
GGCT,0.329033366390221,1.17017506795491e-13
NUSAP1,0.303120331910642,1.00874864017442e-11
PPAT,0.306070200667329,6.20659079686448e-12
CEP55,0.361083291800704,2.22044604925031e-16
UHRF1,0.320851946535672,5.00932628710871e-13
KIF4A,0.386908925919664,0
RRM2,0.30491742188651,7.50866036014486e-12
HJURP,0.346829891770881,4.21884749357559e-15
AURKB,0.394394660220849,0
PSMG3,0.304566274949853,7.95585819446387e-12
MYBL2,0.386778891236792,0
BUB1B,0.326043048320297,2.00062189037453e-13
GINS1,0.390510247120376,0
DLGAP5,0.33749297519747,2.48689957516035e-14
ANLN,0.368045583210428,0
CDC6,0.344753600277159,6.21724893790088e-15
PSAT1,0.30522321656287,7.13940018215453e-12
ORC6,0.356643353481275,6.66133814775094e-16
NUF2,0.392354714486848,0
MEX3A,0.323425247641059,3.18411963462495e-13
ASF1B,0.344775930003439,6.21724893790088e-15
TK1,0.323686755915178,3.04201108747293e-13
MELK,0.34327967846397,8.43769498715119e-15
KIF11,0.332828993514601,5.86197757002083e-14
CENPF,0.375073371597712,0
CDC25C,0.34380594587928,7.54951656745106e-15
FOXM1,0.364788214404491,0
TROAP,0.377330166153273,0
GINS2,0.33746382397963,2.48689957516035e-14
SKA3,0.335066282867731,3.90798504668055e-14
HMMR,0.319893526971425,5.92192961335058e-13
CDC45,0.343874107501982,7.54951656745106e-15
CCNA2,0.309879151017413,3.28825855433479e-12
SPC24,0.325449258797118,2.22488694134881e-13
STIL,0.301654137568361,1.28155264178531e-11
GTSE1,0.352195474519326,1.33226762955019e-15
P3H4,0.335685919448776,3.46389583683049e-14
PRC1,0.310455140711052,2.98472357940227e-12
CDCA3,0.355397152241819,8.88178419700125e-16
CDCA5,0.364285662330934,0
MCM4,0.382101852792734,0
NCAPH,0.384358061126363,0
PKMYT1,0.342967168881855,8.88178419700125e-15
MKI67,0.306537419546319,5.74429392941056e-12
CDT1,0.336521552164935,2.97539770599542e-14
DCAF13,0.336700189975175,2.88657986402541e-14
KIF18B,0.379242368799224,0
EXO1,0.353595212611796,1.11022302462516e-15
NDC80,0.357672332848852,4.44089209850063e-16
C1orf112,0.360567203329831,4.44089209850063e-16
DEPDC1B,0.339482026209282,1.70974345792274e-14
CENPA,0.375277216950985,0
SLC25A39,0.315896879017621,1.18283161043564e-12
RAD54L,0.363093127044614,2.22044604925031e-16
CHAF1B,0.319555596674667,6.27942142727989e-13
TONSL,0.307136325188168,5.20028464734423e-12
KIFC1,0.380837212208903,0
XRCC2,0.362145312768027,2.22044604925031e-16
ASPM,0.357587010911443,4.44089209850063e-16
NCAPG,0.331382677425071,7.63833440942108e-14
AURKA,0.379152090621853,0
CCNF,0.38012015620151,0
DKC1,0.353771079191089,1.11022302462516e-15
ERCC6L,0.339606145379941,1.68753899743024e-14
TRAIP,0.357586531275317,4.44089209850063e-16
POLE2,0.332636446256726,6.08402217494586e-14
CDKN3,0.350581339078827,1.99840144432528e-15
KNTC1,0.339861045334111,1.59872115546023e-14
CKAP2L,0.368348873120355,0
KIF14,0.366369148366536,0
KPNA2,0.37832263988242,0
ORC1,0.338794867520369,1.95399252334028e-14
DEPDC1,0.353388222977257,1.33226762955019e-15
SGO1,0.335759570240468,3.41948691584548e-14
BUB1,0.380877554936335,0
LMNB1,0.313289417161529,1.84741111297626e-12
TTK,0.375802365215336,0
SLC52A2,0.309837209502897,3.31157323785192e-12
EME1,0.420263408298187,0
TIMELESS,0.352299608851429,1.33226762955019e-15
HELLS,0.30922093037473,3.67217367625017e-12
ILF2,0.303051530773107,1.02016173286756e-11
MCM10,0.387879975901879,0
MRGBP,0.343224413723749,8.43769498715119e-15
CDK1,0.347795612462815,3.5527136788005e-15
FEN1,0.342823331337154,9.10382880192628e-15
SHCBP1,0.324844490935959,2.47801779096335e-13
PIMREG,0.381348877368842,0
SPC25,0.323623497239535,3.07531777821168e-13
KIF22,0.365358661636237,0
DTYMK,0.317301360178441,9.28590537796481e-13
TYMS,0.302295570946658,1.15432108316327e-11
CHEK1,0.361187266254099,2.22044604925031e-16
KIF15,0.350733437023465,1.99840144432528e-15
SKA1,0.311700276092451,2.41895392605329e-12
ESPL1,0.357778545604164,4.44089209850063e-16
RFC4,0.317036760915958,9.72111280361787e-13
CKS1B,0.316812024744782,1.01030295240889e-12
TACC3,0.327775813762465,1.46771483855446e-13
MCM2,0.334769281520336,4.10782519111308e-14
KIF23,0.356507616457802,6.66133814775094e-16
BRIX1,0.330978770514626,8.21565038222616e-14
E2F2,0.329103499850327,1.15463194561016e-13
CENPL,0.337255875072841,2.59792187762287e-14
TRIP13,0.373367199314049,0
POC1A,0.340883149917225,1.33226762955019e-14
SUV39H2,0.376152552879742,0
CENPI,0.379240343668917,0
FIGNL1,0.356504632055244,6.66133814775094e-16
MIS18A,0.321534895085263,4.44311254454988e-13
FAM83D,0.360775045650815,2.22044604925031e-16
C5orf34,0.330455380916067,9.05941988094128e-14
CDC25A,0.317894190429369,8.37996338987068e-13
PRR19,0.308574647342277,4.09183797955848e-12
ATAD2,0.377470859416708,0
NCAPG2,0.344778914405997,6.21724893790088e-15
CCT5,0.3360269940268,3.26405569239796e-14
MCM6,0.358707067849932,4.44089209850063e-16
PLK4,0.328811667914505,1.21680443498917e-13
CHEK2,0.349383954138351,2.66453525910038e-15
PARPBP,0.308861256573623,3.90021348550817e-12
CENPE,0.330406191566768,9.12603326241879e-14
TICRR,0.310626797151023,2.89968049571598e-12
DBF4,0.326282226868136,1.91846538655227e-13
TUBG1,0.377271970303398,0
CDCA4,0.308438324096873,4.18598489204669e-12
POLQ,0.303415894349661,9.61053459036521e-12
GINS4,0.361937470447043,2.22044604925031e-16
RAD51AP1,0.333968875412939,4.75175454539567e-14
CLSPN,0.303399853185914,9.63584767532666e-12
WDHD1,0.334987462664466,3.95239396766556e-14
CABLES2,0.320830629374546,5.02708985550271e-13
MEST,0.362600700622592,2.22044604925031e-16
RNASEH2A,0.329407056224769,1.09245945623115e-13
PRR11,0.365878427317404,0
NUP155,0.319225393848817,6.65245636355394e-13
WDR62,0.347453312148026,3.77475828372553e-15
AUNIP,0.394712179335828,0
LAGE3,0.335365948860267,3.68594044175552e-14
CCNE2,0.347699418773231,3.5527136788005e-15
ZYG11A,0.336797325257624,2.8421709430404e-14
CNTD2,0.310122006775547,3.15680814821917e-12
DSCC1,0.370943544679771,0
SLC29A4,0.326510427077996,1.84074977482851e-13
UBE2S,0.33844878340948,2.08721928629529e-14
CIP2A,0.307026008879339,5.2966520058817e-12
SGO2,0.344505095471327,6.66133814775094e-15
MCM7,0.319569133071982,6.26609875098438e-13
RACGAP1,0.338353389113439,2.1316282072803e-14
DNMT3B,0.330206876110235,9.45910016980633e-14
CDH24,0.317595377123279,8.82627304576999e-13
RNFT2,0.35632913852627,6.66133814775094e-16
EIF4EBP1,0.310786942323986,2.82240897320207e-12
NETO2,0.329951603105745,9.9031893796564e-14
E2F1,0.366726050936697,0
CENPW,0.336900358118153,2.77555756156289e-14
FOXO6,0.306707157441789,5.58464385846946e-12
HILPDA,0.340695452313506,1.37667655053519e-14
IGF2BP3,0.338951122311426,1.88737914186277e-14
